"Name","Size(MB)","LastModified"
"C:\Users\Sarunas.Matulionis\.ms-ad","0","12/19/2022 2:45:37 PM"
"C:\Users\Sarunas.Matulionis\3D Objects","0","6/15/2022 9:00:09 AM"
"C:\Users\Sarunas.Matulionis\Contacts","0","6/15/2022 9:00:09 AM"
"C:\Users\Sarunas.Matulionis\Documents","0","6/15/2022 9:07:19 AM"
"C:\Users\Sarunas.Matulionis\Downloads","882.343054771423","3/10/2023 8:17:02 AM"
"C:\Users\Sarunas.Matulionis\EasternGraphics","0.217861175537109","11/24/2022 10:27:17 PM"
"C:\Users\Sarunas.Matulionis\Favorites","0.0001983642578125","6/15/2022 9:00:09 AM"
"C:\Users\Sarunas.Matulionis\Links","0.00147342681884766","6/15/2022 9:00:15 AM"
"C:\Users\Sarunas.Matulionis\Music","0","6/15/2022 9:00:10 AM"
"C:\Users\Sarunas.Matulionis\OneDrive","0","6/15/2022 9:06:15 AM"
"C:\Users\Sarunas.Matulionis\OneDrive - Narbutas","778.396003723145","3/10/2023 5:59:43 AM"
"C:\Users\Sarunas.Matulionis\Oracle","0","11/28/2022 2:07:08 PM"
"C:\Users\Sarunas.Matulionis\Saved Games","0","6/15/2022 9:00:15 AM"
"C:\Users\Sarunas.Matulionis\Searches","0.000819206237792969","6/15/2022 9:00:52 AM"
"C:\Users\Sarunas.Matulionis\Videos","0","6/15/2022 10:30:39 AM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2022-10-21_13_59_10","21.9143676757813","10/21/2022 1:59:10 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2022-12-05_15_29_06","19.9804563522339","12/5/2022 3:29:06 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2023-01-09_13_52_48","46.7888174057007","1/9/2023 1:52:49 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2023-01-20_15_31_25","58.894100189209","1/20/2023 3:31:26 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2023-01-20_15_31_26","32.4988393783569","1/20/2023 3:31:26 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 2023-02-17_15_43_14","46.8468608856201","2/17/2023 3:43:14 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 7_21_2022__9_51_44_PM","17.6975688934326","7/21/2022 9:51:51 PM"
"C:\Users\Sarunas.Matulionis\Downloads\MSTeams Diagnostics Log 7_5_2022__4_40_54_PM","15.7337064743042","7/5/2022 4:41:00 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000071718_20220628135933.xlsx","0.0161867141723633","6/28/2022 1:59:33 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000071718_20220628140116.xlsx","0.0161867141723633","6/28/2022 2:01:16 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000071719_20220628140154.xlsx","0.0203723907470703","6/28/2022 2:01:55 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000081322_20220707160302.xlsx","0.00831508636474609","7/7/2022 4:03:03 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000081554_20220621194715.xlsx","0.00852012634277344","6/21/2022 7:47:16 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000082324_20220712113051.xlsx","0.0429372787475586","7/12/2022 11:30:52 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083305_20220720145911.xlsx","0.00812149047851563","7/20/2022 2:59:11 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083430_20220720165326.xlsx","0.0397624969482422","7/20/2022 4:53:27 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083471_20220803160811.xlsx","0.0165557861328125","8/3/2022 4:09:25 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083472_20220728120439.xlsx","0.00869083404541016","7/28/2022 12:04:40 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083494_20220728101328.xlsx","0.0239553451538086","7/28/2022 10:13:38 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000083981_20220822093623.xlsx","0.0163288116455078","8/22/2022 9:36:36 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000084399_20220909101845.xlsx","0.00648593902587891","9/9/2022 10:18:45 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000084452_20220824134925.xlsx","0.0216388702392578","8/24/2022 1:49:26 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000084633_20220817171016.xlsx","0.0191526412963867","8/17/2022 5:10:16 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000084645_20220817170535.xlsx","0.0153179168701172","8/17/2022 5:05:35 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000084733_20220822064512.xlsx","0.0452728271484375","8/22/2022 6:45:12 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000085326_20220818150609.xlsx","0.0196752548217773","8/18/2022 3:06:10 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000085759_20220902163943.xlsx","0.0211009979248047","9/2/2022 4:39:44 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000085930_20220901170412.xlsx","0.0229549407958984","9/1/2022 5:04:13 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000086485_20221005104849.xlsx","0.0223474502563477","10/5/2022 10:48:50 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000086778_20220914200209.xlsx","0.00916481018066406","9/14/2022 8:02:09 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000088487_20221018083737.xlsx","0.0105409622192383","10/18/2022 8:37:38 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000088487_20221018085311.xlsx","0.0105409622192383","10/18/2022 8:53:12 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000089769_20221103095006.xlsx","0.0586528778076172","11/3/2022 9:50:07 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000090709_20221201114440.xlsx","0.0352916717529297","12/1/2022 11:44:41 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000091203_20221216090434.xlsx","0.020543098449707","12/16/2022 9:04:35 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000092802_20221216101712.xlsx","0.0282344818115234","12/16/2022 10:17:13 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000092802_20221216101732.xlsx","0.0282344818115234","12/16/2022 10:17:32 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000092802_20221216101759.xlsx","0.0282344818115234","12/16/2022 10:18:00 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000093154_20230125105819.xlsx","0.0350065231323242","1/25/2023 10:58:20 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000093736_20230125121206.xlsx","0.0424175262451172","1/25/2023 12:12:06 PM"
"C:\Users\Sarunas.Matulionis\Downloads\0000094671_20230126075715.xlsx","0.0189590454101563","1/26/2023 7:57:17 AM"
"C:\Users\Sarunas.Matulionis\Downloads\0000098068_20230306092424.xlsx","0.0229263305664063","3/6/2023 9:24:25 AM"
"C:\Users\Sarunas.Matulionis\Downloads\42 - Halsinki + 170_130 + 120 _ 80.pdf","0.409537315368652","10/25/2022 4:19:11 PM"
"C:\Users\Sarunas.Matulionis\Downloads\Atleisti i? darbo.doc","0.029296875","2/2/2023 6:44:09 PM"
"C:\Users\Sarunas.Matulionis\Downloads\axaptareport.pdf","0.0729141235351563","9/6/2022 11:51:19 AM"
"C:\Users\Sarunas.Matulionis\Downloads\BingWallpaper.exe","16.2733535766602","6/27/2022 7:39:21 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV012025148.csv","0.00290870666503906","9/12/2022 3:32:28 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV015874346.csv","0.0004119873046875","7/14/2022 7:59:42 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV024574586.csv","0.000825881958007813","8/3/2022 7:10:58 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV026734502.csv","0.00176811218261719","9/21/2022 10:26:36 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV027327883.csv","0.000919342041015625","9/27/2022 4:59:48 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV042041571.csv","0.00522232055664063","7/13/2022 7:56:42 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV046444582.csv","0.00086212158203125","8/24/2022 9:11:29 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV047261419.csv","0.00203514099121094","3/9/2023 12:04:26 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV050539105.csv","0.000829696655273438","8/23/2022 12:24:09 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV055029144.csv","0.000856399536132813","8/24/2022 9:11:01 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV056633013.csv","0.00124740600585938","7/28/2022 11:38:42 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV060629979.csv","0.00323486328125","8/3/2022 4:08:41 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV065444823.csv","0.00127029418945313","3/7/2023 1:28:50 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV066763256.csv","0.000898361206054688","3/7/2023 11:46:35 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV069394422.csv","0.00132369995117188","3/9/2023 11:48:33 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV071568496.csv","0.0015716552734375","8/1/2022 9:46:47 PM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV073360237.csv","0.000490188598632813","7/11/2022 10:48:40 AM"
"C:\Users\Sarunas.Matulionis\Downloads\CSV086853890.csv","0.00244903564453125","10/5/2022 6:55:54 AM"
