"Name","Size(MB)","LastModified"
"C:\Users\lina.liutkeviciute\3D Objects","0","2020.10.22 13:59:33"
"C:\Users\lina.liutkeviciute\Contacts","0","2020.10.22 13:59:34"
"C:\Users\lina.liutkeviciute\Desktop","0,169721603393555","2022.12.22 17:13:39"
"C:\Users\lina.liutkeviciute\Documents","0","2022.12.14 16:12:49"
"C:\Users\lina.liutkeviciute\Downloads","88,5754079818726","2023.03.10 07:33:25"
"C:\Users\lina.liutkeviciute\Favorites","0,0001983642578125","2020.10.22 13:59:34"
"C:\Users\lina.liutkeviciute\Links","0,00146007537841797","2020.10.22 14:00:45"
"C:\Users\lina.liutkeviciute\Music","0","2020.10.22 13:59:34"
"C:\Users\lina.liutkeviciute\OneDrive","0","2021.08.09 06:49:34"
"C:\Users\lina.liutkeviciute\OneDrive - Narbutas","243,8600730896","2023.03.08 07:16:23"
"C:\Users\lina.liutkeviciute\Saved Games","0","2020.10.22 13:59:35"
"C:\Users\lina.liutkeviciute\Searches","0,000819206237792969","2020.10.22 14:00:02"
"C:\Users\lina.liutkeviciute\TOSHIBA","3,85721397399902","2021.04.13 09:44:02"
"C:\Users\lina.liutkeviciute\Videos","0","2020.10.30 07:02:31"
"C:\Users\lina.liutkeviciute\Desktop\Lazertechas baldinis linoleumas 11 28.rtf","0,0590381622314453","2022.12.22 17:10:26"
"C:\Users\lina.liutkeviciute\Desktop\Lazertechas pvc danga 12 22.rtf","0,110683441162109","2022.12.22 17:13:39"
"C:\Users\lina.liutkeviciute\Downloads\Everything-1.4.1.1009.x64","26,506646156311","2021.06.17 10:33:34"
"C:\Users\lina.liutkeviciute\Downloads\0195500_2022_12.pdf","0,16738224029541","2023.01.11 08:45:50"
"C:\Users\lina.liutkeviciute\Downloads\0195500_2022_4.pdf","0,118699073791504","2022.05.11 15:05:37"
"C:\Users\lina.liutkeviciute\Downloads\0195500_2022_5.pdf","0,117241859436035","2022.06.13 10:33:18"
"C:\Users\lina.liutkeviciute\Downloads\10195500_2022-04-26.pdf","0,159450531005859","2022.05.11 14:45:51"
"C:\Users\lina.liutkeviciute\Downloads\10195500_2022-05-31.pdf","0,159421920776367","2022.06.13 14:15:55"
"C:\Users\lina.liutkeviciute\Downloads\14-10-2021-attestation-sortie-pays-rouges-version-anglaise-docx.docx","0,0239315032958984","2021.10.15 12:13:28"
"C:\Users\lina.liutkeviciute\Downloads\1632920920948.pdf","0,00771903991699219","2021.09.29 16:08:42"
"C:\Users\lina.liutkeviciute\Downloads\1673529241756.pdf","0,00673580169677734","2023.01.12 15:14:02"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina Liutkevi?i?t?_182_1 (1).pdf","0,136388778686523","2023.01.18 11:28:17"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina Liutkevi?i?t?_182_1.pdf","0,136388778686523","2021.07.19 09:28:27"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina_Liutkevi?i?t?_182_1 (1).pdf","0,102505683898926","2023.01.18 11:27:57"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina_Liutkevi?i?t?_182_1.pdf","0,102505683898926","2021.07.19 09:29:22"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina_Liutkevi?i?t?_182_2 (1).pdf","0,0990533828735352","2023.01.18 11:27:22"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina_Liutkevi?i?t?_182_2.pdf","0,0568437576293945","2022.04.20 07:01:07"
"C:\Users\lina.liutkeviciute\Downloads\182_Lina_Liutkevi?i?t?_182_3.pdf","0,13448429107666","2023.01.18 11:26:35"
"C:\Users\lina.liutkeviciute\Downloads\1B-223_2016_03_30.docx","0,0259027481079102","2022.01.07 13:34:14"
"C:\Users\lina.liutkeviciute\Downloads\2022F-4 UAB NARBUTAS.pdf","0,157310485839844","2022.02.09 15:56:53"
"C:\Users\lina.liutkeviciute\Downloads\28091 NL002593 Teisingumo.pdf","0,113616943359375","2021.12.09 16:48:43"
"C:\Users\lina.liutkeviciute\Downloads\29566 NL003873 Ignitis 02 28.adoc","0,10088062286377","2022.03.04 15:16:52"
"C:\Users\lina.liutkeviciute\Downloads\29592 NL004829 Visma 05 20 KNS.pdf","0,130080223083496","2022.05.24 14:39:40"
"C:\Users\lina.liutkeviciute\Downloads\2_pakopa_rezultatai_20220331_new.xlsx","0,106871604919434","2023.01.17 14:40:09"
"C:\Users\lina.liutkeviciute\Downloads\2_pakopa_rezultatai_20221231.xlsx","0,114699363708496","2023.01.17 14:46:05"
"C:\Users\lina.liutkeviciute\Downloads\30122 NL004923 LRT 05 23 pertvara.pdf","0,129789352416992","2022.05.25 16:40:24"
"C:\Users\lina.liutkeviciute\Downloads\30122 NL004924 LRT 05 23 k?d?.pdf","0,130017280578613","2022.05.25 16:38:21"
"C:\Users\lina.liutkeviciute\Downloads\31930 NL007171 LRT aktas.pdf","0,130734443664551","2022.12.05 10:14:22"
"C:\Users\lina.liutkeviciute\Downloads\32123 NL007507 Vilniaus miesto 12 22.pdf","0,116608619689941","2022.12.22 17:30:23"
"C:\Users\lina.liutkeviciute\Downloads\4.pdf","0,0867462158203125","2023.03.06 10:26:26"
"C:\Users\lina.liutkeviciute\Downloads\4F515172-D02F-4F32-9C3F-C2195A535D62.pdf","0,121418952941895","2022.06.15 08:37:55"
"C:\Users\lina.liutkeviciute\Downloads\66747DF7-0F38-478F-87FD-80BCB58CB171.pdf","0,120819091796875","2022.09.15 08:29:09"
"C:\Users\lina.liutkeviciute\Downloads\6834EA31-11C5-437D-B6F3-47E8D4E687C1.pdf","0,120852470397949","2022.05.13 09:11:59"
"C:\Users\lina.liutkeviciute\Downloads\88139902_2023-01-06.pdf","0,142169952392578","2023.02.24 08:22:31"
"C:\Users\lina.liutkeviciute\Downloads\AX u?sakym? suvedimai.docx","0,017237663269043","2021.06.02 10:49:20"
"C:\Users\lina.liutkeviciute\Downloads\BZCmHhdvhk01H5R2cy09_Z9OVQWEWH7bYmO1ydt7O_PhY4rHl9raTbHrl5aUXz_8y1d6gdo_4873 Narbutas Lietuva.pdf","0,0477886199951172","2022.11.22 09:58:06"
