"Name","Size(MB)","LastModified"
"C:\Users\ilona.mikucionyte\.ms-ad","0","2022-07-01 10:05:50"
"C:\Users\ilona.mikucionyte\3D Objects","0","2021-07-21 14:08:41"
"C:\Users\ilona.mikucionyte\Contacts","0","2021-07-21 14:08:41"
"C:\Users\ilona.mikucionyte\Desktop","0,487242698669434","2023-03-09 14:31:09"
"C:\Users\ilona.mikucionyte\Documents","20838,2577266693","2023-01-13 11:47:35"
"C:\Users\ilona.mikucionyte\Downloads","659,009126663208","2023-03-10 08:40:56"
"C:\Users\ilona.mikucionyte\EasternGraphics","1,39789867401123","2021-08-03 05:54:45"
"C:\Users\ilona.mikucionyte\Favorites","0,0001983642578125","2021-07-21 14:08:41"
"C:\Users\ilona.mikucionyte\Links","0,00147151947021484","2021-07-21 14:08:42"
"C:\Users\ilona.mikucionyte\Music","0","2021-07-21 14:08:41"
"C:\Users\ilona.mikucionyte\OneDrive","0","2021-08-03 08:59:14"
"C:\Users\ilona.mikucionyte\Pictures","0","2022-01-12 09:30:27"
"C:\Users\ilona.mikucionyte\Saved Games","0","2021-07-21 14:08:42"
"C:\Users\ilona.mikucionyte\Searches","0,000819206237792969","2021-07-21 14:09:02"
"C:\Users\ilona.mikucionyte\Videos","0","2021-09-02 13:34:24"
"C:\Users\ilona.mikucionyte\Desktop\AXAPTA_Darbine_LT.lnk","0,00189208984375","2021-07-21 14:14:05"
"C:\Users\ilona.mikucionyte\Desktop\bartend - Shortcut.lnk","0,00165367126464844","2023-01-13 07:46:31"
"C:\Users\ilona.mikucionyte\Desktop\bookmarks_1_27_22.html","0,0081329345703125","2022-01-27 15:19:46"
"C:\Users\ilona.mikucionyte\Desktop\nature.html","0,40070915222168","2022-01-18 17:27:56"
"C:\Users\ilona.mikucionyte\Desktop\Nura?ymo objektai.xlsx","0,0102510452270508","2021-09-22 07:45:53"
"C:\Users\ilona.mikucionyte\Desktop\Pad?klin?s plok?t?s.xlsx","0,00870418548583984","2023-03-06 10:19:41"
"C:\Users\ilona.mikucionyte\Desktop\Vadybininkai - rinkos 2023.02 (003) (1).xlsm","0,0110569000244141","2023-03-02 14:33:22"
"C:\Users\ilona.mikucionyte\Desktop\Vienkartinis sutikimas dirbti svenciu-poilsio metu_(grupe darbuotoju)_V2.docx","0,0448427200317383","2022-02-12 06:25:00"
"C:\Users\ilona.mikucionyte\Documents\BarTender","0","2023-01-12 11:50:10"
"C:\Users\ilona.mikucionyte\Documents\Custom Office Templates","0","2021-09-17 22:50:52"
"C:\Users\ilona.mikucionyte\Documents\Fax","0,0853862762451172","2021-11-11 18:31:37"
"C:\Users\ilona.mikucionyte\Documents\Outlook Files","20837,5869140625","2023-03-10 07:39:09"
"C:\Users\ilona.mikucionyte\Documents\Scanned Documents","0,492500305175781","2021-11-11 18:31:36"
"C:\Users\ilona.mikucionyte\Documents\VISI Geguze.xlsx","0,092926025390625","2022-05-13 16:06:54"
"C:\Users\ilona.mikucionyte\Documents\BarTender\Components","0","2023-01-12 11:50:10"
"C:\Users\ilona.mikucionyte\Documents\BarTender\Formats","0","2023-01-12 11:50:10"
"C:\Users\ilona.mikucionyte\Documents\BarTender\SAP","0","2023-01-12 11:50:10"
"C:\Users\ilona.mikucionyte\Documents\Fax\Drafts","0","2021-11-11 18:31:36"
"C:\Users\ilona.mikucionyte\Documents\Fax\Inbox","0,0853862762451172","2021-11-11 18:31:38"
"C:\Users\ilona.mikucionyte\Documents\Fax\Inbox\WelcomeFax.tif","0,0853862762451172","2021-11-11 18:31:38"
"C:\Users\ilona.mikucionyte\Documents\Outlook Files\archive.pst","20837,5869140625","2023-03-10 08:40:32"
"C:\Users\ilona.mikucionyte\Documents\Scanned Documents\Documents","0","2021-11-11 18:31:36"
"C:\Users\ilona.mikucionyte\Documents\Scanned Documents\Welcome Scan.jpg","0,492500305175781","2021-11-11 18:31:36"
"C:\Users\ilona.mikucionyte\Downloads\automobilio-pirkimo-pardavimo-sutartis (1).doc","0,08203125","2022-05-26 17:03:59"
"C:\Users\ilona.mikucionyte\Downloads\automobilio-pirkimo-pardavimo-sutartis.doc","0,08203125","2022-05-26 17:03:42"
"C:\Users\ilona.mikucionyte\Downloads\CSV001967170.csv","0,000814437866210938","2023-03-07 08:30:00"
"C:\Users\ilona.mikucionyte\Downloads\CSV015729563.csv","0,00201988220214844","2023-01-23 08:09:05"
"C:\Users\ilona.mikucionyte\Downloads\CSV017699981.csv","0,000833511352539063","2023-01-04 16:49:20"
"C:\Users\ilona.mikucionyte\Downloads\CSV019077290.csv","0,00243568420410156","2022-04-05 07:47:38"
"C:\Users\ilona.mikucionyte\Downloads\CSV021313159.csv","0,00201416015625","2022-09-20 09:49:54"
"C:\Users\ilona.mikucionyte\Downloads\CSV027184811.csv","0,000827789306640625","2022-05-16 06:26:57"
"C:\Users\ilona.mikucionyte\Downloads\CSV029282880.csv","0,00934410095214844","2023-03-01 22:23:18"
"C:\Users\ilona.mikucionyte\Downloads\CSV029942438.csv","0,00176048278808594","2022-03-24 07:13:50"
"C:\Users\ilona.mikucionyte\Downloads\CSV031114272.csv","0,00131607055664063","2023-01-09 13:35:42"
"C:\Users\ilona.mikucionyte\Downloads\CSV036286569.csv","0,00041961669921875","2022-03-23 06:15:57"
"C:\Users\ilona.mikucionyte\Downloads\CSV042733546.csv","0,00168609619140625","2022-05-25 21:54:49"
"C:\Users\ilona.mikucionyte\Downloads\CSV043782568.csv","0,00136756896972656","2023-03-08 12:31:37"
"C:\Users\ilona.mikucionyte\Downloads\CSV046680437.csv","0,0008392333984375","2022-05-03 06:03:56"
"C:\Users\ilona.mikucionyte\Downloads\CSV059851162.csv","0,000856399536132813","2022-08-18 19:24:54"
"C:\Users\ilona.mikucionyte\Downloads\CSV060960215.csv","0,000783920288085938","2022-06-27 13:34:44"
"C:\Users\ilona.mikucionyte\Downloads\CSV061917621.csv","0,00212287902832031","2022-05-13 21:13:20"
"C:\Users\ilona.mikucionyte\Downloads\CSV078683672.csv","0,00216484069824219","2022-04-27 20:13:46"
"C:\Users\ilona.mikucionyte\Downloads\CSV090801645.csv","0,000928878784179688","2022-04-07 07:40:56"
"C:\Users\ilona.mikucionyte\Downloads\CSV097592909.csv","0,000791549682617188","2022-05-03 06:03:37"
"C:\Users\ilona.mikucionyte\Downloads\CSV1002044099.csv","0,000766754150390625","2022-01-26 18:49:23"
"C:\Users\ilona.mikucionyte\Downloads\CSV1002240560.csv","0,000843048095703125","2023-03-10 08:38:31"
"C:\Users\ilona.mikucionyte\Downloads\CSV1003153813.csv","0,00173187255859375","2022-03-15 15:01:24"
"C:\Users\ilona.mikucionyte\Downloads\CSV1008867334.csv","0,00119590759277344","2023-02-08 07:25:22"
"C:\Users\ilona.mikucionyte\Downloads\CSV1009823616.csv","0,000810623168945313","2022-07-29 07:52:35"
"C:\Users\ilona.mikucionyte\Downloads\CSV1010489147.csv","0,0008544921875","2023-03-10 08:21:24"
"C:\Users\ilona.mikucionyte\Downloads\CSV1010892785.csv","0,00041961669921875","2023-02-22 06:41:07"
"C:\Users\ilona.mikucionyte\Downloads\CSV1037393728.csv","0,000873565673828125","2022-02-07 10:37:53"
"C:\Users\ilona.mikucionyte\Downloads\CSV104672875.csv","0,000852584838867188","2023-03-08 11:27:59"
"C:\Users\ilona.mikucionyte\Downloads\CSV1059931680 (1).csv","0,00252151489257813","2022-04-25 15:19:32"
"C:\Users\ilona.mikucionyte\Downloads\CSV1059931680.csv","0,00252151489257813","2022-04-25 15:17:58"
"C:\Users\ilona.mikucionyte\Downloads\CSV107591591.csv","0,000848770141601563","2023-01-23 11:45:30"
"C:\Users\ilona.mikucionyte\Downloads\CSV1083690469.csv","0,000837326049804688","2023-01-10 11:38:17"
"C:\Users\ilona.mikucionyte\Downloads\CSV1093916366.csv","0,00722694396972656","2022-02-14 18:42:34"
"C:\Users\ilona.mikucionyte\Downloads\CSV1101362441.csv","0,00135040283203125","2023-01-26 06:12:59"
