"Name","Size(MB)","LastModified"
"C:\Users\adm-deploy","0","2022-11-08 13:45:59"
"C:\Users\adm-marske","0","2022-11-09 15:41:32"
"C:\Users\infotec","1496,08642196655","2021-07-19 11:19:27"
"C:\Users\Public","46,1666507720947","2021-07-19 20:53:42"
"C:\Users\urte.balcaite","3924,09018993378","2023-02-20 07:35:45"
"C:\Users\User","0","2021-07-19 09:56:14"
"C:\Users\adm-deploy\Desktop","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Documents","0","2022-11-08 13:45:59"
"C:\Users\adm-deploy\Downloads","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Favorites","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Links","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Music","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Pictures","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Saved Games","0","2019-03-19 06:52:44"
"C:\Users\adm-deploy\Videos","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Desktop","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Documents","0","2022-11-09 15:41:32"
"C:\Users\adm-marske\Downloads","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Favorites","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Links","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Music","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Pictures","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Saved Games","0","2019-03-19 06:52:44"
"C:\Users\adm-marske\Videos","0","2019-03-19 06:52:44"
"C:\Users\infotec\3D Objects","0","2021-07-19 11:19:31"
"C:\Users\infotec\Autodesk","0","2020-07-14 09:14:45"
"C:\Users\infotec\Contacts","0","2021-07-19 11:19:31"
"C:\Users\infotec\Desktop","0,00295734405517578","2021-07-19 11:19:31"
"C:\Users\infotec\Documents","0,00035858154296875","2021-07-19 12:30:35"
"C:\Users\infotec\Downloads","1470,56985282898","2021-07-19 11:19:31"
"C:\Users\infotec\EasternGraphics","0,307221412658691","2019-10-16 14:36:06"
"C:\Users\infotec\Favorites","0,0001983642578125","2021-07-19 11:19:31"
"C:\Users\infotec\Intel","2,21683883666992","2020-06-18 09:12:59"
"C:\Users\infotec\Links","0,00139331817626953","2021-07-19 11:19:31"
"C:\Users\infotec\Music","0","2021-07-19 11:19:31"
"C:\Users\infotec\OneDrive","0","2021-07-14 13:22:51"
"C:\Users\infotec\Pictures","0","2021-07-19 11:19:31"
"C:\Users\infotec\Saved Games","0","2021-07-19 11:19:31"
"C:\Users\infotec\Searches","0,000815391540527344","2021-07-19 11:19:31"
"C:\Users\infotec\TOSHIBA","22,9867858886719","2019-10-16 11:04:06"
"C:\Users\infotec\Videos","0","2021-07-19 11:19:31"
"C:\Users\infotec\Desktop\Microsoft Teams.lnk","0,00226402282714844","2020-08-10 15:58:51"
"C:\Users\infotec\Desktop\Windows 10 Update Assistant.lnk","0,000693321228027344","2021-07-19 09:23:26"
"C:\Users\infotec\Documents\3dsMax","0","2019-10-22 15:30:54"
"C:\Users\infotec\Documents\Adobe","0,00035858154296875","2019-10-22 09:56:09"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD","0","2019-10-22 15:16:12"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD 2019","0","2019-10-16 16:55:58"
"C:\Users\infotec\Documents\3dsMax\Content Center Files","0","2020-07-14 09:21:34"
"C:\Users\infotec\Documents\3dsMax\Content Center Files\R2020","0","2019-10-22 15:30:54"
"C:\Users\infotec\Documents\3dsMax\Content Center Files\R2021","0","2020-07-14 09:21:34"
"C:\Users\infotec\Documents\Adobe\PhotoshopPrefsManager-20191022-095609.log","0,00035858154296875","2019-10-22 09:56:09"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD\Content Center Files","0","2019-10-22 15:16:12"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD\Content Center Files\R2020","0","2019-10-22 15:16:12"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD 2019\Content Center Files","0","2019-10-16 16:55:58"
"C:\Users\infotec\Documents\Inventor Server for AutoCAD 2019\Content Center Files\R2019","0","2019-10-16 16:55:58"
"C:\Users\infotec\Downloads\Samsung_Magician_Installer","50,9393157958984","2020-08-11 09:22:42"
"C:\Users\infotec\Downloads\451.77-desktop-win10-64bit-international-nsd-dch-whql.exe","562,03141784668","2020-08-11 09:24:13"
"C:\Users\infotec\Downloads\471.11-desktop-win10-64bit-international-dch-whql.exe","719,999084472656","2021-07-14 13:24:31"
"C:\Users\infotec\Downloads\ME(v12.0.3.1091_SW_Version3).zip","70,3725566864014","2020-06-18 09:12:12"
"C:\Users\infotec\Downloads\Samsung_Magician_Installer.zip","50,6420288085938","2020-08-11 09:22:13"
"C:\Users\infotec\Downloads\Samsung_NVM_Express_Driver_3.3.exe","4,72198486328125","2020-08-11 09:25:07"
"C:\Users\infotec\Downloads\Windows10Upgrade9252 (1).exe","5,93173217773438","2021-07-19 09:23:22"
"C:\Users\infotec\Downloads\Windows10Upgrade9252.exe","5,93173217773438","2021-07-19 09:19:19"
"C:\Users\infotec\Downloads\Samsung_Magician_Installer\Samsung_Magician_Installer.exe","50,9393157958984","2020-02-19 13:40:58"
"C:\Users\infotec\EasternGraphics\BatchRendering","0","2019-10-16 14:35:58"
"C:\Users\infotec\EasternGraphics\eai","0,025390625","2019-10-16 14:36:01"
"C:\Users\infotec\EasternGraphics\EGR-SE","0,00697898864746094","2019-10-16 14:24:21"
