"Name","Size"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\api-ms-win-crt-utility-l1-1-0.dll","0,0200576782226563"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\glass.dll","0,24267578125"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\msvcp140.dll","0,537979125976563"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\prism_d3d.dll","0,14794921875"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\ucrtbase.dll","0,978553771972656"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\vcruntime140.dll","0,0916671752929688"
"C:\Users\marske\.openjfx\cache\17.0.2-ea\vcruntime140_1.dll","0,0350265502929688"
"C:\Users\marske\.ssh\known_hosts","0,00168704986572266"
"C:\Users\marske\.vscode\extensions","571,053742408752"
"C:\Users\marske\.vscode\argv.json","0,00093841552734375"
"C:\Users\marske\.vscode\extensions\.1744d7a2-06a0-4436-a8ed-324ffa794df8","83,8928556442261"
"C:\Users\marske\.vscode\extensions\ms-python.isort-2022.8.0","3,44792938232422"
"C:\Users\marske\.vscode\extensions\ms-python.python-2023.4.0","62,3709554672241"
"C:\Users\marske\.vscode\extensions\ms-python.vscode-pylance-2023.3.10","33,1888484954834"
"C:\Users\marske\.vscode\extensions\ms-python.vscode-pylance-2023.3.20","33,2289791107178"
"C:\Users\marske\.vscode\extensions\ms-toolsai.jupyter-2023.1.2010391206","34,7315731048584"
"C:\Users\marske\.vscode\extensions\ms-toolsai.jupyter-keymap-1.1.0","0,0855884552001953"
"C:\Users\marske\.vscode\extensions\ms-toolsai.jupyter-renderers-1.0.14","16,5336828231812"
"C:\Users\marske\.vscode\extensions\ms-toolsai.vscode-jupyter-cell-tags-0.1.6","0,412595748901367"
"C:\Users\marske\.vscode\extensions\ms-toolsai.vscode-jupyter-slideshow-0.1.5","0,377320289611816"
"C:\Users\marske\.vscode\extensions\ms-vscode.powershell-2023.2.1","302,778297424316"
"C:\Users\marske\.vscode\extensions\.init-default-profile-extensions","0"
"C:\Users\marske\.vscode\extensions\.obsolete","4,10079956054688E-05"
"C:\Users\marske\.vscode\extensions\extensions.json","0,00507545471191406"
"C:\Users\marske\.vscode\extensions\.1744d7a2-06a0-4436-a8ed-324ffa794df8\dist","83,3899412155151"
